Step,Time,Position_X,Position_Y,Position_Z,Tracking_Error_Norm,Control_Input_X,Control_Input_Y,Control_Input_Z
2.0699999999999994,19.850423138,-2.3770037,-2.0093849,8.174485,1.4001116,14.477717,11.517054,-3.2070293
2.079999999999999,20.035794832,-2.0779734,-2.1425056,8.180653,1.4188626,6.0260754,11.759569,-3.316361
2.089999999999999,20.205590656,-1.741151,-2.210273,8.182267,1.451781,-2.677672,9.929616,-3.3405051
2.0999999999999988,20.390164717,-1.4252628,-2.2120223,8.153861,1.5298631,-10.101631,6.130774,-2.7977307
2.1099999999999985,20.581261855,-1.1061794,-2.1315813,8.115324,1.6245452,-16.611689,0.375809,-2.0808568
2.1199999999999983,20.762378815,-0.88096976,-1.9806418,8.014004,1.5519083,-20.085716,-6.7722025,-0.10057129
2.129999999999998,20.940115606,-0.80406344,-1.782342,7.928954,1.4773592,-18.96194,-14.581917,1.6394814
2.139999999999998,21.124443144,-0.88482577,-1.6096656,7.9092603,1.5399855,-12.8772955,-21.191027,2.1174195
2.1499999999999977,21.307235182,-1.0781928,-1.5124592,7.9519362,1.6981452,-3.1467805,-25.047897,1.325134
2.1599999999999975,21.488418696,-1.3273115,-1.5059841,7.9860096,1.8541173,8.199451,-25.574585,0.6434093
2.1699999999999973,21.667073258,-1.5857955,-1.5724931,8.061867,1.9471675,19.473751,-23.32211,-0.9460454
2.179999999999997,21.851560921,-1.8110051,-1.7234325,8.130939,1.9842873,29.568611,-18.399206,-2.4770622
2.189999999999997,22.044538763,-1.9763865,-1.9810301,8.200032,1.9525656,37.725574,-10.647607,-4.0248413
2.1999999999999966,22.232441781,-2.0323586,-2.2453482,8.240713,1.9063324,42.50359,-2.2817922,-4.994411
2.2099999999999964,22.408349908,-1.9751751,-2.487193,8.243517,1.8545135,43.297516,5.7936406,-5.187267
2.219999999999996,22.59220458,-1.806709,-2.7211618,8.240398,1.7817743,39.940994,13.342182,-5.228721
2.229999999999996,22.772405558,-1.5781944,-2.888202,8.231884,1.7067854,33.569283,18.703014,-5.120433
2.2399999999999958,22.959070773,-1.2815878,-2.982923,8.226827,1.6261119,24.887136,21.354256,-5.0180984
2.2499999999999956,23.140052318,-0.9632758,-3.023072,8.211085,1.5705312,15.492405,21.66361,-4.619545
2.2599999999999953,23.320558437,-0.623258,-3.0086493,8.184765,1.5202684,5.97237,19.8083,-3.9112546
2.269999999999995,23.505724973,-0.29800442,-2.9374144,8.174221,1.505927,-2.605153,16.024412,-3.4792132
2.279999999999995,23.685135655,0.022401314,-2.78938,8.128071,1.490229,-10.485775,10.199123,-2.3826299
2.2899999999999947,23.860995694,0.28165677,-2.6022809,8.066443,1.5006822,-16.419107,3.2938247,-1.0258832
2.2999999999999945,24.04964229,0.4835081,-2.3469234,8.006683,1.4817833,-20.027418,-5.1365833,0.28051084
2.3099999999999943,24.240355744,0.5611858,-2.0280335,7.9791265,1.4899913,-19.561516,-15.156313,1.001299
2.319999999999994,24.423817773,0.49595898,-1.7915791,7.989786,1.590153,-13.803459,-23.59647,1.0623925
2.329999999999994,24.594047703,0.34655404,-1.6382254,8.008426,1.7384912,-4.1278276,-28.658619,0.8504969
2.3399999999999936,24.792370563,0.09875764,-1.564157,8.054153,1.9155087,8.824888,-30.00821,-0.13026845
2.3499999999999934,24.973184567,-0.16589652,-1.62146,8.106482,2.062071,22.063725,-26.89946,-1.4656026
2.359999999999993,25.159302177,-0.37501967,-1.7616181,8.165732,2.162645,33.552303,-20.660843,-3.0507042
2.369999999999993,25.347475565,-0.5304849,-1.9992281,8.214635,2.2027607,42.914833,-11.399944,-4.4561715
2.379999999999993,25.522268424,-0.5746676,-2.228962,8.240151,2.2061183,48.455513,-1.6707104,-5.3407903
2.3899999999999926,25.719356732,-0.53918964,-2.5253787,8.2858305,2.1899974,50.800632,9.506965,-6.518307
2.3999999999999924,25.903447653,-0.41149038,-2.7333043,8.322233,2.1567104,49.042683,18.843605,-7.4594483
2.409999999999992,26.10350752,-0.17493248,-2.8949537,8.331588,2.0859263,43.166542,26.510078,-7.8075423
2.419999999999992,26.288374155,0.07286393,-2.9690223,8.301251,2.0146072,35.457405,31.15599,-7.2653913
