Time,Position_X,Position_Y,Position_Z
15.274223613,-29.490599,0.2165982,8.0
15.369395482,-29.49427,0.1691548,8.0
15.434398974,-29.49626,0.13671407,8.0
15.509102802,-29.498024,0.09940365,8.0
15.573678889,-29.499098,0.06713396,8.0
15.639887855,-29.499767,0.034036558,8.0
15.710434089,-29.5,-0.0012352269,8.0
15.778742515,-29.49975,-0.035388697,8.0
15.85108704,-29.498976,-0.071551785,8.0
15.91733087,-29.497808,-0.10465327,8.0
15.992817771,-29.495945,-0.14235027,8.0
16.059457763,-29.493826,-0.17560276,8.0
16.126297621,-29.491255,-0.20892328,8.0
16.194172098,-29.48819,-0.24272136,8.0
16.258928681,-29.484837,-0.2749256,8.0
16.341476666,-29.47996,-0.31590974,8.0
16.414607205,-29.475075,-0.35214722,8.0
16.483470449,-29.46999,-0.38620126,8.0
16.554408414,-29.464262,-0.4212044,8.0
16.639548192,-29.456734,-0.4631018,8.0
16.717821187,-29.449183,-0.50150317,8.0
16.785781046,-29.44214,-0.5347457,8.0
16.858870052,-29.434063,-0.5703851,8.0
16.941540264,-29.4243,-0.61055034,8.0
17.017766422,-29.414711,-0.6474375,8.0
17.098217649,-29.40398,-0.68620443,8.0
17.161665503,-29.39508,-0.71665394,8.0
17.228440851,-29.385296,-0.748576,8.0
17.288461265,-29.376137,-0.7771548,8.0
17.359350098,-29.364882,-0.8107639,8.0
17.425983777,-29.353867,-0.84220695,8.0
17.500553354,-29.341045,-0.87721705,8.0
17.56889976,-29.328835,-0.90913445,8.0
17.645397324,-29.314653,-0.9446568,8.0
17.711301121,-29.302002,-0.97508323,8.0
17.781868686,-29.288012,-1.0074736,8.0
17.848408687,-29.274403,-1.0378325,8.0
17.912379189,-29.260939,-1.0668455,8.0
17.984060561,-29.24541,-1.0991484,8.0
18.047881093,-29.2312,-1.1277184,8.0
18.113422552,-29.216225,-1.1568683,8.0
18.174709237,-29.20188,-1.1839459,8.0
18.24966649,-29.183884,-1.2168211,8.0
18.314650812,-29.167885,-1.2451012,8.0
18.38579339,-29.14995,-1.2758201,8.0
18.450311967,-29.133308,-1.3034548,8.0
18.515581409,-29.116112,-1.3311911,8.0
18.586526277,-29.097012,-1.3610821,8.0
18.656590602,-29.077734,-1.3903325,8.0
18.755677815,-29.049774,-1.431232,8.0
18.827753996,-29.02893,-1.4606297,8.0
18.89407451,-29.009378,-1.487413,8.0
18.956508754,-28.99065,-1.5123869,8.0
19.029051094,-28.968498,-1.541108,8.0
19.098572156,-28.94688,-1.5683284,8.0
19.159200756,-28.927721,-1.5918205,8.0
19.229872913,-28.90503,-1.6189076,8.0
19.299564827,-28.88228,-1.6453022,8.0
19.357279406,-28.863163,-1.6669192,8.0
19.420481064,-28.841946,-1.6903363,8.0
19.491615114,-28.81771,-1.7163696,8.0
19.558954518,-28.794432,-1.7406938,8.0
19.632022292,-28.768803,-1.7667305,8.0
19.69803126,-28.745325,-1.7899268,8.0
19.772874165,-28.718338,-1.8158507,8.0
19.83813388,-28.694492,-1.8381232,8.0
19.913765337,-28.666496,-1.8635428,8.0
19.983034682,-28.64052,-1.8864505,8.0
20.048144527,-28.615814,-1.9076536,8.0
20.115052502,-28.590143,-1.9291041,8.0
20.18001283,-28.564947,-1.9495997,8.0
20.249340688,-28.537766,-1.9711102,8.0
20.315860189,-28.511406,-1.991394,8.0
20.378454103,-28.48636,-2.010158,8.0
20.446424001,-28.458897,-2.0301774,8.0
20.517178601,-28.430023,-2.0506184,8.0
20.604156669,-28.394136,-2.075183,8.0
20.678301287,-28.363213,-2.0956273,8.0
20.742403333,-28.336233,-2.1129317,8.0
20.808367071,-28.308243,-2.1303759,8.0
20.880559144,-28.277348,-2.1490424,8.0
20.941850588,-28.25091,-2.1645384,8.0
21.006455734,-28.222837,-2.1805205,8.0
21.07978122,-28.19073,-2.1982179,8.0
21.14486088,-28.162018,-2.21353,8.0
21.206817372,-28.1345,-2.2277584,8.0
21.291059636,-28.096807,-2.246556,8.0
21.382702887,-28.055449,-2.2662807,8.0
21.457160133,-28.021584,-2.2817461,8.0
21.524309057,-27.99085,-2.2952595,8.0
21.594096684,-27.95872,-2.3088653,8.0
21.683965897,-27.917067,-2.3257234,8.0
21.746028385,-27.888128,-2.336927,8.0
21.825207773,-27.851011,-2.3506975,8.0
21.894140371,-27.818525,-2.3622062,8.0
21.986337666,-27.77483,-2.376897,8.0
22.051083732,-27.743986,-2.3867307,8.0
22.128742041,-27.70683,-2.3979976,8.0
22.213895648,-27.665888,-2.4096873,8.0
22.278096896,-27.634893,-2.4180386,8.0
22.34933119,-27.60038,-2.4268382,8.0
22.413215837,-27.569324,-2.4343107,8.0
22.4926648,-27.530575,-2.4430494,8.0
22.558815641,-27.498207,-2.449855,8.0
22.630677205,-27.462946,-2.4567623,8.0
22.71235402,-27.422754,-2.4639966,8.0
22.781142624,-27.388817,-2.4695792,8.0
22.851826983,-27.353867,-2.474829,8.0
22.918282526,-27.320942,-2.4793136,8.0
22.979757279,-27.290436,-2.483072,8.0
23.053273364,-27.253897,-2.487074,8.0
23.143283084,-27.209085,-2.4912412,8.0
23.21454409,-27.17356,-2.4939682,8.0
23.298162274,-27.13183,-2.4965217,8.0
23.365222713,-27.098335,-2.4980652,8.0
23.435530153,-27.0632,-2.499201,8.0
23.505464779,-27.028238,-2.4998405,8.0
23.580399507,-26.990772,-2.499983,8.0
23.646110123,-26.957918,-2.4996457,8.0
23.718392905,-26.92179,-2.4987764,8.0
23.797188655,-26.882421,-2.4972336,8.0
23.866643073,-26.847744,-2.4953594,8.0
23.938167351,-26.812067,-2.4929261,8.0
24.004798527,-26.778862,-2.4902005,8.0
24.072881168,-26.744976,-2.4869585,8.0
24.141042896,-26.711098,-2.483251,8.0
24.220305482,-26.67177,-2.4783592,8.0
24.304733127,-26.62997,-2.472464,8.0
24.384935131,-26.59036,-2.4662108,8.0
24.461683297,-26.552555,-2.4596326,8.0
24.542558488,-26.51283,-2.4520738,8.0
24.605430588,-26.482037,-2.445754,8.0
24.672137949,-26.449453,-2.4386263,8.0
24.743717143,-26.4146,-2.4304953,8.0
24.813113738,-26.380922,-2.4221363,8.0
24.877420943,-26.349823,-2.413974,8.0
24.944475154,-26.31751,-2.4050379,8.0
25.012422944,-26.28489,-2.3955412,8.0
25.070907557,-26.25692,-2.387013,8.0
25.13366788,-26.227016,-2.3774984,8.0
25.194240128,-26.19827,-2.3679593,8.0
25.265528485,-26.164593,-2.3562884,8.0
25.348484436,-26.125616,-2.3421044,8.0
25.429664314,-26.087706,-2.3275998,8.0
25.495462518,-26.057156,-2.3153932,8.0
25.592779064,-26.012272,-2.2966049,8.0
25.658287592,-25.98227,-2.2834673,8.0
25.738473641,-25.94578,-2.2668526,8.0
25.796617331,-25.91949,-2.2544405,8.0
25.859021777,-25.89144,-2.2407796,8.0
25.93015992,-25.85967,-2.224781,8.0
25.999732556,-25.828825,-2.2086987,8.0
26.060214577,-25.802195,-2.1943707,8.0
26.121546648,-25.77537,-2.1795135,8.0
26.181144599,-25.749477,-2.164762,8.0
26.25203168,-25.718914,-2.146816,8.0
26.321851728,-25.689062,-2.128718,8.0
26.382434527,-25.663366,-2.112678,8.0
26.442491923,-25.638086,-2.096471,8.0
26.51390263,-25.608284,-2.0768068,8.0
26.598479628,-25.573355,-2.0529695,8.0
26.66443291,-25.5464,-2.033973,8.0
26.725214379,-25.521782,-2.016153,8.0
26.788881687,-25.496231,-1.9971673,8.0
26.855781623,-25.469645,-1.9768686,8.0
26.936756575,-25.43783,-1.9518259,8.0
27.00360696,-25.411875,-1.9307659,8.0
27.091585334,-25.378149,-1.9025241,8.0
27.15869918,-25.352758,-1.880584,8.0
27.228033671,-25.32684,-1.857562,8.0
27.292293099,-25.303104,-1.8359053,8.0
27.360616413,-25.278177,-1.812547,8.0
27.422630811,-25.25583,-1.791053,8.0
27.488261821,-25.232471,-1.7680049,8.0
27.560416752,-25.207142,-1.7423146,8.0
27.620293906,-25.186405,-1.72072,8.0
27.706183421,-25.157118,-1.6893146,8.0
27.784270435,-25.13096,-1.6603279,8.0
27.848105718,-25.109915,-1.6363306,8.0
27.923052612,-25.085602,-1.6078175,8.0
27.996694038,-25.062128,-1.5794479,8.0
28.064506285,-25.040888,-1.5530217,8.0
28.128821798,-25.021072,-1.5276934,8.0
28.197991079,-25.00013,-1.5001717,8.0
28.264052864,-24.980484,-1.4736187,8.0
28.330526834,-24.961071,-1.4466405,8.0
28.39426482,-24.942795,-1.4205319,8.0
28.455122846,-24.92566,-1.3953886,8.0
28.525813239,-24.906137,-1.3659215,8.0
28.599563201,-24.886219,-1.3348895,8.0
28.676148173,-24.866022,-1.3023585,8.0
28.736078359,-24.850565,-1.2766873,8.0
28.800919478,-24.83419,-1.2487067,8.0
28.86743799,-24.81777,-1.2197835,8.0
28.932206322,-24.802153,-1.1914139,8.0
28.997146433,-24.786865,-1.1627685,8.0
29.057203167,-24.773058,-1.136102,8.0
29.131742103,-24.756369,-1.1027782,8.0
29.21413103,-24.738503,-1.0656605,8.0
29.296969448,-24.721159,-1.028048,8.0
29.360170417,-24.708347,-0.9991622,8.0
